Key,Text,Notes,Community Suggestions
"Names
Not using a name generator here - going for standard human-sounding names.",,,
[MALE_NAME_1],Rodger,,
[MALE_NAME_2],Heinrich,,
[MALE_NAME_3],Lucas,,
[MALE_NAME_4],Troy,,
[MALE_NAME_5],Horatio,,
[MALE_NAME_6],Geoff,,
[MALE_NAME_7],JimBob,,
[MALE_NAME_8],Benjamin,,
[MALE_NAME_9],Tristan,,
[MALE_NAME_10],Alphonse,,
[MALE_NAME_11],Lars,,
[MALE_NAME_12],Maximilian,,
[MALE_NAME_13],Zeus,,
[MALE_NAME_14],Bruce,,
[MALE_NAME_15],Reginald,,
[MALE_NAME_16],Jasper,,
[MALE_NAME_17],Samuel,,
[MALE_NAME_18],Dean,,
[MALE_NAME_19],Rodrick,,
[MALE_NAME_20],Vinny,,
[MALE_NAME_21],Leonardo,,
[MALE_NAME_22],Michaelangelo,,
[MALE_NAME_23],Donatello,,
[MALE_NAME_24],Rafael,,
[MALE_NAME_25],Vash,,
[MALE_NAME_26],Edgar,,
[MALE_NAME_27],Saban,,
[MALE_NAME_28],Jordan,,
[MALE_NAME_29],Sean,,
[MALE_NAME_30],Gustavo,,
[MALE_NAME_31],Levar,,
[MALE_NAME_32],Noah,,
[MALE_NAME_33],Antonio,,
[MALE_NAME_34],Eric,,
[MALE_NAME_35],Wesley,,
[MALE_NAME_36],Joakim,,
[MALE_NAME_37],Rami,,
[MALE_NAME_38],Marcus,,
[MALE_NAME_39],Cory,,
[MALE_NAME_40],Conner,,
[MALE_NAME_41],Xavier,,
[MALE_NAME_42],Xander,,
[MALE_NAME_43],Merle,,
[MALE_NAME_44],Cecil,,
[MALE_NAME_45],Toby,,
[MALE_NAME_46],Rhys,,
[MALE_NAME_47],A'ron,,
[MALE_NAME_48],Ludwig,,
[MALE_NAME_49],Borscht,,
[MALE_NAME_50],Zazi,,
[MALE_NAME_51],Brian,,
[MALE_NAME_52],Walt,,
[MALE_NAME_53],Sven,,
[MALE_NAME_54],"Finneas
",,
[MALE_NAME_55],Oliver,,
[MALE_NAME_56],Stanley,,
[MALE_NAME_57],Trevor,,
[MALE_NAME_58],Angus,,
[MALE_NAME_59],Basil,,
[MALE_NAME_60],Clyde,,
[MALE_NAME_61],Delbert,,
[MALE_NAME_62],Everett,,
[MALE_NAME_63],Floyd,,
[MALE_NAME_64],"Lorenzo
",,
[MALE_NAME_65],"Neville
",,
[MALE_NAME_66],Quentin,,
[MALE_NAME_67],Russell,,
[MALE_NAME_68],Terry,,
[MALE_NAME_69],Griffin,,
[MALE_NAME_70],Travis,,
[MALE_NAME_71],Justin,,
[MALE_NAME_72],"Wayne
",,
[MALE_NAME_73],Theo,,
[MALE_NAME_74],Silas,,
[MALE_NAME_75],Rene,,
,,,
[FEMALE_NAME_1],Zoe,,
[FEMALE_NAME_2],Chloe,,
[FEMALE_NAME_3],Lo,,
[FEMALE_NAME_4],Jocelyn,,
[FEMALE_NAME_5],Lucca,,
[FEMALE_NAME_6],Vanessa,,
[FEMALE_NAME_7],Victoria,,
[FEMALE_NAME_8],Georgina,,
[FEMALE_NAME_9],Kate,,
[FEMALE_NAME_10],Luna,,
[FEMALE_NAME_11],Paulina,,
[FEMALE_NAME_12],Lela,,
[FEMALE_NAME_13],Aubrey,,
[FEMALE_NAME_14],Ariel,,
[FEMALE_NAME_15],Beatrix,,
[FEMALE_NAME_16],Harmony,,
[FEMALE_NAME_17],Penelope,,
[FEMALE_NAME_18],Joane,,
[FEMALE_NAME_19],Olivia,,
[FEMALE_NAME_20],Cameron,,
[FEMALE_NAME_21],Ada,,
[FEMALE_NAME_22],Winifred,,
[FEMALE_NAME_23],Naomi,,
